Country,Code,Overall LPI Score,Rank,Confidence interval,% of highest performer,CustomsScore,CustomsRank,InfrastructureScore,InfrastructureRank,Ease of ShipmentScore,Ease of ShipmentRank,Logistics ServicesScore,Logistics ServicesRank,Ease of TrackingScore,Ease of TrackingRank,Domestic Logistics CostsScore,Domestic Logistics CostsRank,TimelinessScore,TimelinessRank
Hungary,HUN,3.15,35,0.11,67.5,3.00,34,3.12,33,3.07,42,3.07,37,3.00,44,3.00,57,3.69,34
Bahrain,BHR,3.15,36,0.18,67.5,3.40,22,3.40,27,3.33,27,2.75,59,3.00,47,2.25,140,3.00,84
Slovenia,SVN,3.14,37,0.18,67.1,2.79,40,3.22,29,3.14,36,3.09,36,2.91,52,3.18,32,3.73,33
Czech Republic,CZE,3.13,38,0.15,66.9,2.95,36,3.00,36,3.06,43,3.00,42,3.27,35,3.40,10,3.56,42
India,IND,3.07,39,0.08,64.9,2.69,47,2.90,42,3.08,40,3.27,31,3.03,42,3.08,46,3.47,47
Poland,POL,3.04,40,0.11,63.9,2.88,38,2.69,51,2.92,52,3.04,38,3.12,40,3.23,23,3.59,40
Saudi Arabia,SAU,3.02,41,0.06,63.3,2.72,45,2.95,38,2.93,50,2.88,51,3.02,43,2.76,106,3.65,39
Latvia,LVA,3.02,42,0.16,63.2,2.53,58,2.56,58,3.31,29,2.94,48,3.06,41,2.94,73,3.69,35
Indonesia,IDN,3.01,43,0.13,63.0,2.73,44,2.83,45,3.05,44,2.90,50,3.30,33,2.84,92,3.28,58
Kuwait,KWT,2.99,44,0.52,62.2,2.50,59,2.83,46,2.60,76,3.00,47,3.33,32,2.40,130,3.75,32
Argentina,ARG,2.98,45,0.09,62.1,2.65,51,2.81,47,2.97,49,3.00,44,3.00,46,2.84,93,3.50,46
Qatar,QAT,2.98,46,0.19,61.9,2.44,67,2.63,55,3.00,46,3.00,43,3.17,38,3.00,56,3.67,38
Estonia,EST,2.95,47,0.11,61.0,2.75,42,2.91,40,2.85,56,3.00,45,2.84,58,3.29,18,3.35,53
Oman,OMN,2.92,48,0.22,60.3,2.71,46,2.86,43,2.57,79,2.67,67,2.80,63,3.25,20,4.00,24
Cyprus,CYP,2.92,49,0.13,60.2,2.77,41,2.91,41,2.92,51,2.77,58,2.92,50,2.92,77,3.25,62
Slovak Republic,SVK,2.92,50,0.17,60.1,2.61,55,2.68,52,3.09,38,3.00,40,2.87,55,3.09,44,3.26,60
Romania,ROM,2.91,51,0.18,59.8,2.60,56,2.73,50,3.20,35,2.86,52,2.86,56,2.62,123,3.18,66
Jordan,JOR,2.89,52,0.13,59.2,2.62,54,2.62,56,3.08,39,3.00,41,2.85,57,2.92,78,3.17,68
Vietnam,VNM,2.89,53,0.18,59.2,2.89,37,2.50,60,3.00,47,2.80,56,2.90,53,3.30,17,3.22,65
Panama,PAN,2.89,54,0.15,59.2,2.68,48,2.79,48,2.80,58,2.73,60,2.93,49,3.21,25,3.43,49
Bulgaria,BGR,2.87,55,0.15,58.6,2.47,66,2.47,64,2.79,59,2.86,53,3.14,39,2.91,81,3.56,43
Mexico,MEX,2.87,56,0.05,58.6,2.50,63,2.68,53,2.91,54,2.80,57,2.96,48,2.79,101,3.40,51
Sao Tome,STP,2.86,57,0.49,58.3,2.50,60,2.20,95,3.40,25,3.00,39,3.00,45,3.67,2,3.00,76
Lithuania,LTU,2.78,58,0.21,55.7,2.64,52,2.30,80,3.00,48,2.70,64,2.60,74,3.00,60,3.40,50
Peru,PER,2.77,59,0.15,55.4,2.68,49,2.57,57,2.91,53,2.73,61,2.70,67,3.00,59,3.00,80
Tunisia,TUN,2.76,60,0.15,55.3,2.83,39,2.83,44,2.86,55,2.43,88,2.83,60,3.20,30,2.80,105
Brazil,BRA,2.75,61,0.07,54.9,2.39,74,2.75,49,2.61,75,2.94,49,2.77,65,2.58,126,3.10,71
Guinea,GIN,2.71,62,0.24,53.8,2.50,61,2.33,75,2.50,85,2.67,68,2.83,59,3.20,29,3.50,45
Croatia,HRV,2.71,63,0.20,53.7,2.36,78,2.50,61,2.69,66,2.83,54,2.46,87,3.08,50,3.45,48
Sudan,SDN,2.71,64,0.19,53.6,2.36,79,2.36,73,2.67,68,2.83,55,2.92,51,3.00,58,3.17,67
Philippines,PHL,2.69,65,0.15,52.9,2.64,53,2.26,87,2.77,63,2.65,70,2.65,69,3.27,19,3.14,70
El Salvador,SLV,2.66,66,0.13,52.1,2.38,75,2.42,68,2.78,61,2.53,78,2.82,61,2.94,74,3.06,73
Mauritania,MRT,2.63,67,0.19,51.1,2.40,70,2.20,96,2.60,77,2.70,65,2.80,62,3.11,41,3.10,72
Pakistan,PAK,2.62,68,0.16,50.7,2.41,69,2.37,71,2.72,65,2.71,63,2.57,76,2.86,90,2.93,88
Venezuela,VEN,2.62,69,0.08,50.7,2.37,77,2.51,59,2.69,67,2.59,74,2.54,79,2.68,114,3.03,75
Ecuador,ECU,2.60,70,0.26,50.1,2.25,88,2.36,72,2.64,72,2.64,71,2.45,89,3.36,12,3.27,59
Paraguay,PRY,2.57,71,0.15,49.2,2.20,100,2.47,63,2.29,113,2.63,73,2.67,68,3.13,36,3.23,63
Costa Rica,CRI,2.55,72,0.11,48.7,2.49,64,2.43,67,2.53,82,2.43,89,2.57,78,3.08,49,2.89,91
Ukraine,UKR,2.55,73,0.15,48.7,2.22,97,2.35,74,2.53,83,2.41,90,2.53,80,3.25,21,3.31,55
Belarus,BLR,2.53,74,0.25,48.0,2.67,50,2.63,54,2.13,127,2.13,120,2.71,66,3.13,38,3.00,78
Guatemala,GTM,2.53,75,0.18,47.9,2.27,87,2.13,104,2.62,73,2.50,79,2.43,90,3.00,65,3.23,64
Kenya,KEN,2.52,76,0.17,47.7,2.33,81,2.15,100,2.79,60,2.31,104,2.62,73,2.75,108,2.92,89
Gambia,GMB,2.52,77,0.32,47.6,2.25,89,2.33,76,2.67,69,3.00,46,2.33,99,3.00,67,2.50,132
Iran,IRN,2.51,78,0.20,47.3,2.50,62,2.44,66,2.59,78,2.69,66,2.00,125,2.93,75,2.80,106
Uruguay,URY,2.51,79,0.10,47.3,2.29,86,2.38,70,2.40,100,2.45,85,2.57,77,2.78,103,3.00,82
Honduras,HND,2.50,80,0.11,47.0,2.48,65,2.32,79,2.48,93,2.41,91,2.41,91,2.88,85,2.88,92
Cambodia,KHM,2.50,81,0.12,47.0,2.19,104,2.30,81,2.47,95,2.47,82,2.53,81,3.21,27,3.05,74
Colombia,COL,2.50,82,0.10,46.9,2.10,116,2.28,85,2.61,74,2.44,86,2.63,71,2.91,80,2.94,87
Uganda,UGA,2.49,83,0.16,46.7,2.21,99,2.17,99,2.42,98,2.55,77,2.33,100,3.63,3,3.29,56
Cameroon,CMR,2.49,84,0.25,46.7,2.57,57,2.00,114,2.33,110,2.25,109,2.50,85,3.00,64,3.29,57
Comoros,COM,2.48,85,0.15,46.3,2.30,85,2.46,65,2.33,108,2.64,72,2.50,83,3.00,62,2.67,117
Angola,AGO,2.48,86,0.22,46.3,2.40,71,2.25,88,2.50,87,2.50,81,2.38,94,3.00,66,2.83,100
Bangladesh,BGD,2.47,87,0.18,46.1,2.00,125,2.29,82,2.46,96,2.33,103,2.46,88,3.08,48,3.33,54
Bosnia and Herzegovina,BIH,2.46,88,0.17,45.7,2.32,84,2.26,86,2.50,86,2.37,98,2.29,105,3.41,9,3.00,77
Benin,BEN,2.45,89,0.21,45.3,1.80,142,1.89,134,2.78,62,2.56,75,2.89,54,3.22,24,2.78,107
Macedonia,MKD,2.43,90,0.24,45.0,2.00,126,2.29,83,2.67,70,2.33,101,2.50,84,3.00,63,2.83,99
Malawi,MWI,2.42,91,0.26,44.5,2.25,90,2.13,106,2.56,81,2.56,76,2.00,126,3.13,39,3.00,79
Sri Lanka,LKA,2.40,92,0.14,43.9,2.25,91,2.13,105,2.31,112,2.45,84,2.58,75,3.08,47,2.69,113
Nigeria,NGA,2.40,93,0.09,43.8,2.23,96,2.23,92,2.49,92,2.38,96,2.36,97,2.90,83,2.69,114
Morocco,MAR,2.38,94,0.22,43.4,2.20,101,2.33,77,2.75,64,2.13,119,2.00,130,2.38,133,2.86,95
Papua New Guinea,PNG,2.38,95,0.24,43.3,2.00,127,2.00,123,2.57,80,2.29,105,2.29,106,3.43,7,3.14,69
Dominican Republic,DOM,2.38,96,0.10,43.3,2.33,82,2.18,97,2.34,107,2.25,108,2.28,107,3.05,54,2.89,90
Egypt,EGY,2.37,97,0.24,43.0,2.08,122,2.00,121,2.33,111,2.38,95,2.62,72,2.83,94,2.85,96
Lebanon,LBN,2.37,98,0.31,42.9,2.17,107,2.14,102,2.50,88,2.40,93,2.33,101,3.40,11,2.67,115
Russian Federation,RUS,2.37,99,0.06,42.9,1.94,137,2.23,93,2.48,94,2.46,83,2.17,119,2.40,131,2.94,86
Zambia,ZMB,2.37,100,0.27,42.8,2.08,119,2.00,119,2.40,102,2.44,87,2.80,64,3.10,42,2.50,130
Senegal,SEN,2.37,101,0.18,42.8,2.38,76,2.09,108,2.09,130,2.73,62,2.30,103,3.09,45,2.63,123
C�te d'Ivoire,CIV,2.36,102,0.23,42.7,2.22,98,2.22,94,2.13,128,2.38,97,2.00,128,3.00,68,3.25,61
Kyrgyz Republic,KGZ,2.35,103,0.14,42.3,2.20,102,2.06,112,2.35,106,2.35,100,2.38,95,2.80,98,2.76,109
Ethiopia,ETH,2.33,104,0.21,41.6,2.14,109,1.88,135,2.43,97,2.00,129,1.83,141,3.17,34,3.67,37
Liberia,LBR,2.31,105,0.23,41.2,2.40,72,2.14,101,2.83,57,2.00,127,2.00,132,3.20,31,2.43,134
Moldova,MDA,2.31,106,0.19,41.1,2.14,110,1.94,128,2.36,105,2.21,112,2.50,86,2.92,79,2.73,111
Bolivia,BOL,2.31,107,0.12,41.0,2.00,128,2.08,109,2.42,99,2.17,117,2.38,93,2.53,127,2.81,104
Lesotho,LSO,2.30,108,0.35,40.9,2.40,73,2.00,115,2.50,89,2.20,115,1.83,140,3.50,6,2.83,98
Mali,MLI,2.29,109,0.14,40.6,2.17,106,1.90,132,2.23,119,2.21,114,2.38,92,3.05,53,2.88,93
Mozambique,MOZ,2.29,110,0.18,40.6,2.23,94,2.08,110,2.25,118,2.36,99,2.00,129,2.83,95,2.83,101
Azerbaijan,AZE,2.29,111,0.22,40.5,2.23,95,2.00,116,2.50,90,2.00,128,2.38,96,2.88,87,2.63,124
Yemen,YEM,2.29,112,0.19,40.4,2.18,105,2.08,111,2.20,123,2.22,111,2.30,104,2.67,116,2.78,108
Burundi,BDI,2.29,113,0.36,40.4,2.20,103,2.50,62,2.50,84,2.50,80,2.00,127,2.33,137,2.00,148
Zimbabwe,ZWE,2.29,114,0.21,40.3,1.92,138,1.87,136,2.27,114,2.21,113,2.64,70,2.36,134,2.85,97
SerbiaMontenegro,YUG,2.28,115,0.13,40.1,2.33,83,2.18,98,2.25,116,2.29,107,2.07,124,3.07,51,2.54,128
Guinea-Bissau,GNB,2.28,116,0.23,40.0,2.14,111,2.25,89,2.22,120,2.00,132,2.22,114,3.14,35,2.86,94
"Laos, PDR",LAO,2.25,117,0.21,39.3,2.08,120,2.00,120,2.40,103,2.29,106,1.89,139,2.13,146,2.83,102
Jamaica,JAM,2.25,118,0.11,39.1,2.35,80,2.03,113,2.13,126,2.07,125,2.24,112,3.50,5,2.65,119
Togo,TGO,2.25,119,0.20,39.0,2.10,117,2.25,90,2.40,101,2.40,94,2.20,115,3.33,14,2.11,145
Madagascar,MDG,2.24,120,0.15,39.0,2.24,93,2.13,107,2.25,117,2.00,131,2.19,117,3.21,26,2.67,116
Burkina Faso,BFA,2.24,121,0.23,38.9,2.13,115,1.89,133,2.67,71,2.33,102,2.13,122,2.67,118,2.25,143
Nicaragua,NIC,2.21,122,0.14,38.1,2.14,112,1.86,138,2.18,124,2.41,92,2.19,118,3.04,55,2.50,131
Haiti,HTI,2.21,123,0.13,38.0,2.08,121,2.14,103,2.20,122,2.11,122,2.16,121,2.78,104,2.60,125
Eritrea,ERI,2.19,124,0.26,37.2,2.14,113,2.00,117,2.00,135,2.67,69,2.50,82,3.00,61,1.83,149
Ghana,GHA,2.16,125,0.25,36.4,2.00,129,2.25,91,2.25,115,1.75,146,2.25,110,2.00,149,2.50,133
Namibia,NAM,2.16,126,0.28,36.3,2.14,114,2.00,118,2.14,125,1.83,142,1.83,142,2.60,125,3.00,83
Somalia,SOM,2.16,127,0.22,36.3,2.43,68,1.63,147,1.88,141,2.25,110,1.75,144,3.00,71,3.00,81
Buthan,BTN,2.16,128,0.13,36.3,1.95,135,1.95,127,2.06,134,2.18,116,2.27,109,3.36,13,2.57,126
Uzbekistan,UZB,2.16,129,0.14,36.3,1.94,136,2.00,124,2.07,133,2.15,118,2.08,123,2.91,82,2.73,112
Nepal,NPL,2.14,130,0.17,35.7,1.83,141,1.77,144,2.09,131,2.08,124,2.33,102,3.25,22,2.75,110
Armenia,ARM,2.14,131,0.23,35.6,2.10,118,1.78,143,2.00,140,2.11,121,2.22,113,3.43,8,2.63,122
Mauritius,MUS,2.13,132,0.25,35.5,2.00,130,2.29,84,2.20,121,1.75,147,2.25,111,2.67,117,2.33,137
Kazakhstan,KAZ,2.12,133,0.13,35.2,1.91,139,1.86,137,2.10,129,2.05,126,2.19,116,2.81,96,2.65,120
Gabon,GAB,2.10,134,0.36,34.5,2.25,92,2.40,69,1.67,147,2.00,136,2.00,134,2.75,109,2.33,136
Syria,SYR,2.09,135,0.20,34.1,2.17,108,1.91,131,2.00,138,1.80,145,2.00,137,2.89,84,2.67,118
Mongolia,MNG,2.08,136,0.20,34.0,2.00,131,1.92,129,2.50,91,1.80,144,2.00,136,3.00,70,2.25,142
Tanzania,TZA,2.08,137,0.17,34.0,2.07,123,2.00,122,2.08,132,1.92,138,2.17,120,3.33,15,2.27,140
Solomon Islands,SLB,2.08,138,0.19,34.0,1.73,144,2.00,126,2.36,104,2.10,123,2.00,131,2.73,111,2.30,139
Albania,ALB,2.08,139,0.17,33.9,2.00,132,2.33,78,2.33,109,2.00,130,1.67,145,2.78,105,2.13,144
Algeria,DZA,2.06,140,0.22,33.3,1.60,148,1.83,139,2.00,139,1.92,139,2.27,108,3.17,33,2.82,103
Guyana,GUY,2.05,141,0.15,32.8,1.95,134,1.78,142,1.80,144,1.95,137,2.35,98,3.50,4,2.50,129
Chad,TCD,1.98,142,0.16,30.8,2.00,133,1.80,141,1.83,142,1.82,143,1.91,138,4.00,1,2.56,127
Niger,NER,1.97,143,0.23,30.5,1.67,145,1.40,149,1.80,145,2.00,134,2.00,133,1.67,150,3.00,85
Sierra Leone,SLE,1.95,144,0.21,29.9,1.58,149,1.83,140,1.82,143,1.91,140,2.00,135,3.00,69,2.64,121
Djibouti,DJI,1.94,145,0.16,29.5,1.64,146,1.92,130,2.00,137,2.00,133,1.82,143,2.80,99,2.30,138
Tajikistan,TJK,1.93,146,0.19,29.3,1.91,140,2.00,125,2.00,136,1.90,141,1.67,146,2.33,138,2.11,146
Myanmar,MMR,1.86,147,0.17,27.0,2.07,124,1.69,145,1.73,146,2.00,135,1.57,149,2.92,76,2.08,147
Rwanda,RWA,1.77,148,0.13,24.3,1.80,143,1.53,148,1.67,148,1.67,148,1.60,148,3.07,52,2.38,135
Timor-Leste,TMP,1.71,149,0.23,22.3,1.63,147,1.67,146,1.50,149,1.60,149,1.67,147,3.33,16,2.25,141
Afghanistan,AFG,1.21,150,0.10,6.6,1.30,150,1.10,150,1.22,150,1.25,150,1.00,150,3.13,40,1.38,150
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
